"Plot_Number","Rice_Cultivar","Experiment_Name","Plot_Center","Seeding_Rate","Nitrogen_Rate","Replicate","Yield","Emergence_Date_DOY","Heading_25","Heading_50","Heading_100","Final_Lodge"
33761,"IAC600","Tiara","9' 9""""",112,75,1,6.002350469,140,NA,64,66,0
33762,"Tiara","Tiara","16' 3""""",78,75,1,5.922051466,140,NA,66,71,0
33763,"Sierra","Tiara","16' 3""""",112,75,1,8.331021553,140,76,78,83,0
33764,"Scarlett","Tiara","9' 9""""",78,75,1,10.56505453,140,74,76,79,0
33765,"Tiara","Tiara","9' 9""""",112,75,1,6.693495458,140,NA,68,70,0
33766,"IAC600","Tiara","16' 3""""",78,75,1,5.385768839,140,NA,64,67,0
33767,"Scarlett","Tiara","16' 3""""",112,75,1,11.17303269,140,74,76,79,0
33768,"Sierra","Tiara","9' 9""""",78,75,1,9.526903133,140,78,81,84,0
33769,"IAC600","Tiara","9' 9""""",78,75,2,5.514820808,140,NA,64,66,0
33770,"Sierra","Tiara","16' 3""""",78,75,2,8.606332421,140,79,81,84,0
33771,"IAC600","Tiara","16' 3""""",112,75,2,6.240379656,140,NA,63,65,0
33772,"Scarlett","Tiara","9' 9""""",112,75,2,11.62041285,140,73,75,78,0
33773,"Tiara","Tiara","9' 9""""",112,75,2,6.636139027,140,NA,68,70,0
33774,"Sierra","Tiara","16' 3""""",112,75,2,8.356831947,140,78,80,84,0
33775,"Tiara","Tiara","16' 3""""",78,75,2,6.294868265,140,NA,68,70,0
33776,"Scarlett","Tiara","9' 9""""",78,75,2,11.21318219,140,74,76,79,0
33777,"Tiara","Tiara","9' 9""""",112,75,3,6.613196455,140,NA,68,70,0
33778,"Sierra","Tiara","16' 3""""",78,75,3,7.10932958,140,78,80,84,0
33779,"IAC600","Tiara","16' 3""""",112,75,3,6.30347173,140,NA,63,66,0
33780,"Sierra","Tiara","9' 9""""",112,75,3,10.35570356,140,77,79,83,0
33781,"Tiara","Tiara","9' 9""""",78,75,3,6.168684118,140,NA,68,71,0
33782,"Scarlett","Tiara","16' 3""""",78,75,3,11.0812624,140,74,76,78,0
33783,"IAC600","Tiara","16' 3""""",78,75,3,5.334148051,140,NA,64,67,0
33784,"Scarlett","Tiara","9' 9""""",112,75,3,10.73999164,140,74,76,79,0
33785,"Tiara","Tiara","29' 3""""",78,150,1,7.115065223,140,72,73,75,0
33786,"IAC600","Tiara","35' 9""""",112,150,1,6.274793514,140,NA,65,67,0
33787,"Sierra","Tiara","35' 9""""",112,150,1,8.084388902,140,84,86,88,0
33788,"IAC600","Tiara","29' 3""""",78,150,1,6.363695982,140,NA,66,69,0
33789,"Scarlett","Tiara","29' 3""""",112,150,1,11.50569999,140,82,84,86,0
33790,"Scarlett","Tiara","35' 9""""",78,150,1,11.44834356,140,81,83,84,0
33791,"Sierra","Tiara","35' 9""""",78,150,1,8.758326962,140,83,85,88,0
33792,"Tiara","Tiara","29' 3""""",112,150,1,6.854093464,140,71,73,74,0
33793,"Scarlett","Tiara","29' 3""""",112,150,2,12.30869002,140,79,81,83,0
33794,"Tiara","Tiara","35' 9""""",112,150,2,7.642744386,140,69,70,72,0
33795,"IAC600","Tiara","35' 9""""",112,150,2,6.871300393,140,NA,65,67,0
33796,"Sierra","Tiara","29' 3""""",78,150,2,8.540372525,140,83,85,88,0
33797,"Sierra","Tiara","29' 3""""",112,150,2,8.537504704,140,83,85,88,0
33798,"IAC600","Tiara","35' 9""""",78,150,2,6.79100139,140,NA,66,69,0
33799,"Tiara","Tiara","35' 9""""",78,150,2,7.175289476,140,69,71,74,0
33800,"Scarlett","Tiara","29' 3""""",78,150,2,13.57339932,140,80,82,84,0
33801,"IAC600","Tiara","29' 3""""",112,150,3,7.96967604,140,NA,66,68,0
33802,"Scarlett","Tiara","35' 9""""",78,150,3,13.56766367,140,79,80,82,0
33803,"Tiara","Tiara","35' 9""""",78,150,3,5.05023372,140,69,71,74,0
33804,"Tiara","Tiara","29' 3""""",112,150,3,7.966808219,140,70,71,74,0
33805,"Sierra","Tiara","29' 3""""",78,150,3,8.841493786,140,83,85,88,0
33806,"Sierra","Tiara","35' 9""""",112,150,3,7.768928533,140,81,83,86,0
33807,"IAC600","Tiara","35' 9""""",78,150,3,5.824545534,140,NA,66,68,0
33808,"Scarlett","Tiara","29' 3""""",112,150,3,12.24559795,140,80,82,84,0
33809,"Sierra","Tiara","48' 9""""",78,200,1,7.955336933,140,84,86,88,0
33810,"IAC600","Tiara","55' 3""""",78,200,1,6.785265747,140,NA,66,69,0
33811,"Tiara","Tiara","55' 3""""",78,200,1,6.707834566,140,72,74,77,0
33812,"Sierra","Tiara","48' 9""""",112,200,1,7.158082546,140,84,86,88,0
33813,"Tiara","Tiara","48' 9""""",112,200,1,6.773794461,140,72,73,76,0
33814,"Scarlett","Tiara","55' 3""""",78,200,1,11.47702178,140,82,84,86,0
33815,"Scarlett","Tiara","55' 3""""",112,200,1,11.42826881,140,82,84,86,0
33816,"IAC600","Tiara","48' 9""""",112,200,1,5.944994038,140,NA,66,68,0
33817,"Sierra","Tiara","48' 9""""",78,200,2,8.465809166,140,83,85,87,0
33818,"Scarlett","Tiara","55' 3""""",112,200,2,12.52090881,140,82,84,86,0
33819,"Scarlett","Tiara","55' 3""""",78,200,2,13.5848706,140,82,84,86,0
33820,"Tiara","Tiara","48' 9""""",78,200,2,7.031898399,140,71,73,76,0
33821,"IAC600","Tiara","48' 9""""",112,200,2,6.269057871,140,NA,66,68,0
33822,"IAC600","Tiara","55' 3""""",78,200,2,6.091252936,140,NA,67,70,0
33823,"Sierra","Tiara","55' 3""""",112,200,2,8.124538403,140,83,85,87,0
33824,"Tiara","Tiara","48' 9""""",112,200,2,7.393243912,140,70,72,74,0
33825,"Sierra","Tiara","48' 9""""",112,200,3,8.090124545,140,82,84,86,0
33826,"IAC600","Tiara","55' 3""""",112,200,3,6.971674147,140,NA,65,67,0
33827,"Sierra","Tiara","55' 3""""",78,200,3,8.614935885,140,83,85,87,0
33828,"Scarlett","Tiara","48' 9""""",112,200,3,12.72165632,140,80,82,84,0
33829,"Scarlett","Tiara","48' 9""""",78,200,3,12.89659343,140,80,82,84,0
33830,"Tiara","Tiara","55' 3""""",78,200,3,6.854093464,140,71,72,74,0
33831,"Tiara","Tiara","55' 3""""",112,200,3,7.246985014,140,70,72,74,0
33832,"IAC600","Tiara","48' 9""""",78,200,3,6.627535563,140,NA,65,67,0
35148,"Santee Gold","Santee_Gold","9' 9""""",78,75,1,10.55358324,140,86,88,90,0
35149,"Carolina Gold","Santee_Gold","16' 3""""",78,75,1,5.993747004,140,84,86,88,0
35150,"Charleston Gold","Santee_Gold","16' 3""""",78,75,1,12.839237,140,78,81,83,0
35151,"RoyJ","Santee_Gold","9' 9""""",78,75,1,14.23013045,140,76,79,85,0
35152,"Santee Gold","Santee_Gold","9' 9""""",112,75,1,10.05745012,140,86,88,90,0
35153,"Carolina Gold","Santee_Gold","16' 3""""",112,75,1,6.297736087,140,84,86,88,0
35154,"Charleston Gold","Santee_Gold","16' 3""""",112,75,1,13.9175379,140,76,78,82,5
35155,"RoyJ","Santee_Gold","9' 9""""",112,75,1,14.62588982,140,75,77,82,0
35156,"Carolina Gold","Santee_Gold","9' 9""""",78,75,2,6.727909317,140,85,87,89,0
35157,"Charleston Gold","Santee_Gold","16' 3""""",78,75,2,12.33736824,140,77,79,83,5
35158,"Carolina Gold","Santee_Gold","16' 3""""",112,75,2,5.259584692,140,83,85,88,2
35159,"RoyJ","Santee_Gold","9' 9""""",78,75,2,13.67664089,140,76,79,85,0
35160,"Santee Gold","Santee_Gold","9' 9""""",112,75,2,10.64535353,140,86,88,90,0
35161,"RoyJ","Santee_Gold","16' 3""""",112,75,2,13.06005926,140,76,78,83,0
35162,"Santee Gold","Santee_Gold","16' 3""""",78,75,2,10.12341001,140,86,88,90,0
35163,"Charleston Gold","Santee_Gold","9' 9""""",112,75,2,11.7064475,140,76,78,82,1
35164,"Carolina Gold","Santee_Gold","9' 9""""",78,75,3,5.489010414,140,84,86,88,0
35165,"RoyJ","Santee_Gold","16' 3""""",78,75,3,12.45494892,140,76,78,83,0
35166,"Charleston Gold","Santee_Gold","16' 3""""",112,75,3,11.95308015,140,76,79,82,0
35167,"Santee Gold","Santee_Gold","9' 9""""",112,75,3,11.02964162,140,85,87,90,0
35168,"RoyJ","Santee_Gold","9' 9""""",112,75,3,13.96629087,140,74,77,82,0
35169,"Charleston Gold","Santee_Gold","16' 3""""",78,75,3,11.4139297,140,76,79,82,10
35170,"Santee Gold","Santee_Gold","16' 3""""",78,75,3,11.20744655,140,85,87,90,0
35171,"Carolina Gold","Santee_Gold","9' 9""""",112,75,3,6.670552886,140,84,86,88,0
35172,"Carolina Gold","Santee_Gold","29' 3""""",78,150,1,4.574175345,140,86,88,89,80
35173,"Charleston Gold","Santee_Gold","35' 9""""",78,150,1,9.524035311,140,83,85,87,50
35174,"RoyJ","Santee_Gold","35' 9""""",78,150,1,16.79683072,140,86,88,90,0
35175,"Carolina Gold","Santee_Gold","29' 3""""",112,150,1,6.415316769,140,85,87,89,70
35176,"Santee Gold","Santee_Gold","29' 3""""",112,150,1,10.44460602,140,88,90,92,0
35177,"Charleston Gold","Santee_Gold","35' 9""""",112,150,1,9.231517515,140,82,84,86,60
35178,"RoyJ","Santee_Gold","35' 9""""",112,150,1,17.85218904,140,85,87,89,0
35179,"Santee Gold","Santee_Gold","29' 3""""",78,150,1,9.825156572,140,88,90,92,0
35180,"Carolina Gold","Santee_Gold","29' 3""""",78,150,2,4.869560963,140,86,88,89,60
35181,"Charleston Gold","Santee_Gold","35' 9""""",78,150,2,9.549845705,140,82,84,86,50
35182,"Carolina Gold","Santee_Gold","35' 9""""",112,150,2,5.271055978,140,85,87,88,60
35183,"RoyJ","Santee_Gold","29' 3""""",112,150,2,16.67064657,140,85,87,89,0
35184,"Santee Gold","Santee_Gold","29' 3""""",78,150,2,9.908323397,140,85,88,90,0
35185,"RoyJ","Santee_Gold","35' 9""""",78,150,2,17.14670495,140,85,87,89,0
35186,"Santee Gold","Santee_Gold","35' 9""""",112,150,2,11.05258419,140,87,89,91,0
35187,"Charleston Gold","Santee_Gold","29' 3""""",112,150,2,9.466678881,140,82,84,86,80
35188,"Santee Gold","Santee_Gold","29' 3""""",112,150,3,9.905455575,140,87,89,90,0
35189,"Carolina Gold","Santee_Gold","35' 9""""",112,150,3,4.422180804,140,84,86,88,70
35190,"RoyJ","Santee_Gold","35' 9""""",78,150,3,16.04546148,140,84,87,89,0
35191,"Charleston Gold","Santee_Gold","29' 3""""",112,150,3,7.823417142,140,81,83,85,80
35192,"RoyJ","Santee_Gold","29' 3""""",112,150,3,16.90580794,140,85,87,89,0
35193,"Carolina Gold","Santee_Gold","35' 9""""",78,150,3,5.643872777,140,84,86,88,90
35194,"Charleston Gold","Santee_Gold","35' 9""""",78,150,3,9.985754578,140,81,83,85,80
35195,"Santee Gold","Santee_Gold","29' 3""""",78,150,3,10.63961789,140,87,89,91,0
35196,"Charleston Gold","Santee_Gold","48' 9""""",112,200,1,7.505088952,140,83,85,87,60
35197,"Carolina Gold","Santee_Gold","55' 3""""",112,200,1,3.745374922,140,85,87,89,80
35198,"RoyJ","Santee_Gold","55' 3""""",78,200,1,16.07700751,140,86,88,90,0
35199,"Santee Gold","Santee_Gold","48' 9""""",78,200,1,9.544110062,140,88,90,92,0
35200,"RoyJ","Santee_Gold","48' 9""""",112,200,1,15.64396646,140,86,88,90,0
35201,"Charleston Gold","Santee_Gold","55' 3""""",78,200,1,9.959944184,140,83,85,87,50
35202,"Carolina Gold","Santee_Gold","55' 3""""",78,200,1,4.674549099,140,86,88,90,80
35203,"Carolina Gold","Santee_Gold","48' 9""""",78,200,2,3.438518018,140,86,88,90,80
35204,"Santee Gold","Santee_Gold","48' 9""""",112,200,1,9.412190271,140,88,90,92,0
35205,"Santee Gold","Santee_Gold","55' 3""""",112,200,2,10.54497978,140,88,90,92,0
35206,"Charleston Gold","Santee_Gold","55' 3""""",78,200,2,10.06318576,140,82,84,86,45
35207,"RoyJ","Santee_Gold","48' 9""""",78,200,2,16.86852626,140,85,87,89,0
35208,"Santee Gold","Santee_Gold","48' 9""""",78,200,2,10.41019216,140,88,90,92,0
35209,"Charleston Gold","Santee_Gold","55' 3""""",112,200,2,9.073787331,140,82,84,85,50
35210,"Carolina Gold","Santee_Gold","55' 3""""",112,200,2,4.780658496,140,85,87,89,70
35211,"RoyJ","Santee_Gold","48' 9""""",112,200,2,16.92588269,140,84,86,88,0
35212,"Santee Gold","Santee_Gold","48' 9""""",112,200,3,10.82602629,140,88,90,92,0
35213,"RoyJ","Santee_Gold","55' 3""""",112,200,3,17.00044605,140,84,86,88,0
35214,"Carolina Gold","Santee_Gold","55' 3""""",78,200,3,7.05197315,140,84,86,88,70
35215,"RoyJ","Santee_Gold","48' 9""""",78,200,3,16.27775502,140,85,87,89,0
35216,"Santee Gold","Santee_Gold","48' 9""""",78,200,3,9.813685286,140,88,90,92,0
35217,"Charleston Gold","Santee_Gold","55' 3""""",112,200,3,7.94960129,140,83,85,87,50
35218,"Carolina Gold","Santee_Gold","55' 3""""",112,200,3,4.944124323,140,85,87,89,80
35219,"Charleston Gold","Santee_Gold","48' 9""""",78,200,3,8.368303233,140,82,84,86,75
35750,"XP753","Hybrid_XP753","16' 3""""",26.5,130,1,13.11359692,140,74,75,79,0
35751,"XP753","Hybrid_XP753","22' 9""""",26.5,130,1,14.28364723,140,74,75,79,0
35752,"XP753","Hybrid_XP753","22' 9""""",26.5,130,1,14.51808745,140,74,75,79,0
35753,"XP753","Hybrid_XP753","16' 3""""",26.5,130,1,13.94596727,140,74,75,79,0
35754,"XP753","Hybrid_XP753","16' 3""""",26.5,130,1,13.88789492,140,74,75,79,0
35755,"XP753","Hybrid_XP753","22' 9""""",26.5,130,1,14.48152338,140,74,75,79,0
35756,"XP753","Hybrid_XP753","22' 9""""",26.5,130,1,15.17408992,140,74,75,79,0
35757,"XP753","Hybrid_XP753","16' 3""""",26.5,130,1,13.40826032,140,74,75,79,0
35758,"XP753","Hybrid_XP753","16' 3""""",26.5,130,1,13.38245039,140,74,75,79,0
35759,"XP753","Hybrid_XP753","22' 9""""",26.5,130,1,14.82995748,140,74,75,79,0
35760,"XP753","Hybrid_XP753","22' 9""""",26.5,130,2,16.16777235,140,74,75,79,0
35761,"XP753","Hybrid_XP753","16' 3""""",26.5,130,2,15.02783364,140,74,75,79,0
35762,"XP753","Hybrid_XP753","16' 3""""",26.5,130,2,15.05364357,140,73,74,79,0
35763,"XP753","Hybrid_XP753","22' 9""""",26.5,130,2,14.39118862,140,74,75,79,0
35764,"XP753","Hybrid_XP753","22' 9""""",26.5,130,2,13.95026892,140,74,75,79,0
35765,"XP753","Hybrid_XP753","16' 3""""",26.5,130,2,15.49456326,140,74,75,79,0
35766,"XP753","Hybrid_XP753","16' 3""""",26.5,130,2,12.87270421,140,74,75,79,0
35767,"XP753","Hybrid_XP753","22' 9""""",26.5,130,2,16.02366689,140,74,75,79,0
35768,"XP753","Hybrid_XP753","22' 9""""",26.5,130,2,12.46404693,140,73,74,79,0
35769,"XP753","Hybrid_XP753","16' 3""""",26.5,130,2,13.48999178,140,74,75,79,0
35770,"XP753","Hybrid_XP753","16' 3""""",26.5,130,3,15.28378214,140,74,75,79,0
35771,"XP753","Hybrid_XP753","22' 9""""",26.5,130,3,13.53515916,140,74,75,79,0
35772,"XP753","Hybrid_XP753","22' 9""""",26.5,130,3,15.01277784,140,74,75,79,0
35773,"XP753","Hybrid_XP753","16' 3""""",26.5,130,3,14.53099242,140,74,75,79,0
35774,"XP753","Hybrid_XP753","16' 3""""",26.5,130,3,15.47735664,140,73,75,79,0
35775,"XP753","Hybrid_XP753","22' 9""""",26.5,130,3,14.98266625,140,73,75,79,0
35776,"XP753","Hybrid_XP753","22' 9""""",26.5,130,3,13.17812175,140,74,75,79,0
35777,"XP753","Hybrid_XP753","16' 3""""",26.5,130,3,14.46861842,140,74,75,79,0
35778,"XP753","Hybrid_XP753","16' 3""""",26.5,130,3,15.74405928,140,74,75,79,0
35779,"XP753","Hybrid_XP753","22' 9""""",26.5,130,3,14.82135417,140,74,75,79,0
35780,"NIL 43","Inbred_Jeff + NIL","35' 9""""",122,130,1,8.6742884,140,81,83,85,0
35781,"Jefferson","Inbred_Jeff + NIL","42' 3""""",122,130,1,7.867727986,140,73,75,76,0
35782,"NIL 43","Inbred_Jeff + NIL","42' 3""""",122,130,1,8.921633594,140,81,83,85,0
35783,"Jefferson","Inbred_Jeff + NIL","35' 9""""",122,130,1,7.190217238,140,73,74,76,0
35784,"NIL 43","Inbred_Jeff + NIL","35' 9""""",122,130,1,9.285123487,140,80,82,84,0
35785,"Jefferson","Inbred_Jeff + NIL","42' 3""""",122,130,1,7.958062752,140,72,74,76,0
35786,"Jefferson","Inbred_Jeff + NIL","42' 3""""",122,130,1,8.091414074,140,72,73,75,0
35787,"NIL 43","Inbred_Jeff + NIL","35' 9""""",122,130,1,9.816377947,140,80,82,84,0
35788,"Jefferson","Inbred_Jeff + NIL","35' 9""""",122,130,1,8.478563073,140,73,74,76,0
35789,"NIL 43","Inbred_Jeff + NIL","42' 3""""",122,130,1,8.913030283,140,81,83,85,0
35790,"Jefferson","Inbred_Jeff + NIL","42' 3""""",122,130,2,7.951610269,140,73,74,76,0
35791,"NIL 43","Inbred_Jeff + NIL","35' 9""""",122,130,2,9.347497492,140,80,82,84,0
35792,"Jefferson","Inbred_Jeff + NIL","35' 9""""",122,130,2,7.915046197,140,73,74,75,0
35793,"Jefferson","Inbred_Jeff + NIL","42' 3""""",122,130,2,7.413903326,140,72,73,75,0
35794,"NIL 43","Inbred_Jeff + NIL","42' 3""""",122,130,2,8.592556945,140,80,82,84,0
35795,"Jefferson","Inbred_Jeff + NIL","35' 9""""",122,130,2,8.218312913,140,73,74,75,0
35796,"NIL 43","Inbred_Jeff + NIL","35' 9""""",122,130,2,8.951745183,140,81,82,84,0
35797,"NIL 43","Inbred_Jeff + NIL","42' 3""""",122,130,2,8.564596184,140,80,82,84,0
35798,"NIL 43","Inbred_Jeff + NIL","42' 3""""",122,130,2,8.861410416,140,80,82,84,0
35799,"Jefferson","Inbred_Jeff + NIL","35' 9""""",122,130,2,8.353815062,140,72,73,74,0
35800,"NIL 43","Inbred_Jeff + NIL","35' 9""""",122,130,3,8.069905797,140,79,81,83,0
35801,"Jefferson","Inbred_Jeff + NIL","42' 3""""",122,130,3,8.072056624,140,72,73,74,0
35802,"NIL 43","Inbred_Jeff + NIL","42' 3""""",122,130,3,9.670121658,140,80,82,84,0
35803,"Jefferson","Inbred_Jeff + NIL","35' 9""""",122,130,3,8.461356451,140,72,73,75,0
35804,"NIL 43","Inbred_Jeff + NIL","35' 9""""",122,130,3,9.412022326,140,80,82,84,0
35805,"Jefferson","Inbred_Jeff + NIL","42' 3""""",122,130,3,8.558143701,140,72,73,74,0
35806,"Jefferson","Inbred_Jeff + NIL","42' 3""""",122,130,3,9.098001471,140,71,72,73,0
35807,"NIL 43","Inbred_Jeff + NIL","35' 9""""",122,130,3,9.300179281,140,79,81,83,0
35808,"NIL 43","Inbred_Jeff + NIL","35' 9""""",122,130,3,9.526016197,140,80,82,84,0
35809,"Jefferson","Inbred_Jeff + NIL","42' 3""""",122,130,3,9.119509749,140,71,72,73,0
35810,"PATNAI 6","Mini_Core","16' 3""""",122,130,1,NA,139,86,88,90,60
35811,"WAB462-10-3-1","Mini_Core","22' 9""""",122,130,1,8.356831947,139,71,73,75,0
35812,"Jefferson","Mini_Core","29' 3""""",122,130,1,7.981147326,139,71,73,75,0
35813,"M-202","Mini_Core","29' 3""""",122,130,1,8.818551214,139,70,72,74,0
35814,"Bombilla","Mini_Core","22' 9""""",122,130,1,NA,139,69,70,72,80
35815,"ECIA76-S89-1","Mini_Core","16' 3""""",122,130,1,NA,139,84,86,88,70
35816,"Teqing","Mini_Core","16' 3""""",122,130,1,NA,139,86,88,91,5
35817,"Gasym Hany","Mini_Core","22' 9""""",122,130,1,NA,139,NA,66,68,90
35818,"Doble Carolina","Mini_Core","29' 3""""",122,130,1,NA,139,84,86,88,90
35819,"XP753","Mini_Core","29' 3""""",122,130,1,16.65630746,139,73,74,76,0
35820,"Red Khosha Cerma","Mini_Core","22' 9""""",122,130,1,NA,139,80,82,84,100
35821,"EMBRAPA 1200","Mini_Core","16' 3""""",122,130,1,7.393243912,139,84,86,89,0
35822,"M-202","Mini_Core","16' 3""""",122,130,2,6.019557398,139,70,72,74,5
35823,"Doble Carolina","Mini_Core","22' 9""""",122,130,2,NA,139,84,86,88,90
35824,"Gasym Hany","Mini_Core","29' 3""""",122,130,2,NA,139,NA,66,68,100
35825,"EMBRAPA 1200","Mini_Core","29' 3""""",122,130,2,8.027032471,139,84,86,89,0
35826,"Teqing","Mini_Core","22' 9""""",122,130,2,NA,139,89,91,92,0
35827,"Red Khosha Cerma","Mini_Core","16' 3""""",122,130,2,NA,139,78,82,84,95
35828,"Bombilla","Mini_Core","16' 3""""",122,130,2,NA,139,69,70,72,100
35829,"PATNAI 6","Mini_Core","22' 9""""",122,130,2,NA,139,84,86,88,90
35830,"Jefferson","Mini_Core","29' 3""""",122,130,2,9.475282345,139,73,74,76,0
35831,"ECIA76-S89-1","Mini_Core","29' 3""""",122,130,2,NA,139,83,85,87,20
35832,"XP753","Mini_Core","22' 9""""",122,130,2,18.78136322,139,73,74,75,0
35833,"WAB462-10-3-1","Mini_Core","16' 3""""",122,130,2,8.758326962,139,73,74,76,0
35834,"Doble Carolina","Mini_Core","16' 3""""",122,130,3,NA,139,84,86,88,95
35835,"XP753","Mini_Core","22' 9""""",122,130,3,17.30156731,139,72,73,75,0
35836,"Bombilla","Mini_Core","29' 3""""",122,130,3,NA,139,69,70,72,95
35837,"Teqing","Mini_Core","29' 3""""",122,130,3,NA,139,88,90,92,0
35838,"EMBRAPA 1200","Mini_Core","22' 9""""",122,130,3,8.675160137,139,85,87,89,0
35839,"M-202","Mini_Core","16' 3""""",122,130,3,11.34223416,139,70,72,74,0
35840,"ECIA76-S89-1","Mini_Core","16' 3""""",122,130,3,NA,139,82,84,87,50
35841,"WAB462-10-3-1","Mini_Core","22' 9""""",122,130,3,7.940997825,139,73,74,75,0
35842,"PATNAI 6","Mini_Core","29' 3""""",122,130,3,NA,139,83,86,88,80
35843,"Jefferson","Mini_Core","29' 3""""",122,130,3,9.681765496,139,73,74,76,0
35844,"Gasym Hany","Mini_Core","22' 9""""",122,130,3,NA,139,NA,66,68,100
35845,"Red Khosha Cerma","Mini_Core","16' 3""""",122,130,3,NA,139,77,80,82,95
35846,"Teqing","Mini_Core","16' 3""""",122,130,4,NA,139,89,91,92,10
35847,"Bombilla","Mini_Core","22' 9""""",122,130,4,NA,139,70,71,72,80
35848,"WAB462-10-3-1","Mini_Core","29' 3""""",122,130,4,8.652217565,139,73,74,75,0
35849,"Red Khosha Cerma","Mini_Core","29' 3""""",122,130,4,NA,139,78,80,82,80
35850,"Gasym Hany","Mini_Core","22' 9""""",122,130,4,NA,139,NA,66,68,80
35851,"ECIA76-S89-1","Mini_Core","16' 3""""",122,130,4,NA,139,83,85,87,80
35852,"Jefferson","Mini_Core","16' 3""""",122,130,4,10.72278471,139,71,73,74,0
35853,"EMBRAPA 1200","Mini_Core","22' 9""""",122,130,4,10.43026692,139,80,82,86,0
35854,"PATNAI 6","Mini_Core","29' 3""""",122,130,4,NA,139,84,86,88,75
35855,"Doble Carolina","Mini_Core","29' 3""""",122,130,4,NA,139,84,86,88,95
35856,"XP753","Mini_Core","22' 9""""",122,130,4,21.82125404,139,72,73,75,0
35857,"M-202","Mini_Core","16' 3""""",122,130,4,13.55906021,139,70,72,74,0
